ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
605,1,2,1,44,0,352,1,36,1
606,2,2,2,64,0,574,3,21,0
607,2,2,2,84,1,700,4,22,1
608,2,1,2,50,1,85,3,25,0
609,1,2,2,78,1,745,2,27,0
610,2,2,2,26,1,220,1,23,0
611,4,2,2,42,1,427,2,24,0
612,4,2,2,44,1,487,3,36,1
613,8,2,2,84,1,646,4,40,1
614,7,2,2,56,0,475,4,26,0
615,12,2,2,52,1,583,3,50,1
616,1,2,2,23,0,274,1,27,0
617,1,2,2,41,0,361,1,30,0
618,3,1,2,26,1,103,2,23,0
619,10,2,2,48,0,346,4,50,1
620,1,2,1,50,0,472,1,24,1
621,3,2,2,84,1,652,2,28,0
622,3,1,2,40,0,226,4,28,0
623,1,2,2,73,0,724,4,45,0
624,1,1,2,54,1,805,2,21,0
625,1,2,2,51,0,424,1,21,0
626,5,1,2,94,1,631,2,29,0
627,1,2,2,22,0,241,1,21,0
628,1,2,2,40,0,472,3,21,0
629,1,2,2,50,0,538,1,45,0
630,5,1,2,44,0,241,1,21,0
631,1,2,2,44,0,322,4,34,1
632,1,2,2,80,1,535,1,24,0
633,1,2,2,30,0,286,2,23,0
634,2,2,2,34,1,325,1,22,0
635,1,1,2,27,0,277,1,31,0
636,1,2,2,32,0,436,3,38,1
637,1,2,2,45,0,364,1,48,0
638,3,1,2,36,1,448,4,23,0
639,8,1,2,64,1,727,4,32,1
640,2,1,2,24,1,85,1,28,0
641,1,2,2,34,1,379,4,27,0
642,1,2,2,51,0,529,2,24,0
643,1,2,2,34,0,385,1,50,1
644,1,1,1,25,0,340,3,31,0
645,4,2,2,60,1,328,4,27,0
646,3,2,2,70,1,682,1,30,0
647,2,2,2,34,1,202,3,33,1
648,1,2,1,72,1,634,3,22,1
649,12,2,2,70,1,349,2,42,1
650,1,2,2,50,0,292,1,23,0
651,2,1,2,50,1,256,1,23,0
652,2,2,2,46,1,514,3,27,0
653,6,2,2,80,1,523,2,28,0
654,1,2,2,27,0,304,3,27,0
655,2,2,2,56,1,526,1,22,0
656,3,2,2,54,1,661,2,25,1
657,3,2,2,70,1,154,1,22,0
658,2,2,2,96,1,667,4,41,0
659,1,2,2,77,0,670,1,51,0
660,4,1,2,62,1,526,4,27,1
661,1,2,2,33,0,331,1,54,0
662,2,2,2,86,0,787,4,22,1
663,9,2,2,92,1,628,1,43,1
664,10,2,2,92,1,637,4,40,1
